rowId,featureKey,value,path
binaryMedian/binaryMedian,intercept,1,binaryMedian/binaryMedian.json
blackTopHat/blackTopHat,BlackTopHat:type=UInt8:radius=3:windowSize=7,1,blackTopHat/blackTopHat.json
blackTopHat/blackTopHat,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,blackTopHat/blackTopHat.json
blackTopHat/blackTopHat,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,blackTopHat/blackTopHat.json
blackTopHat/blackTopHat,intercept,1,blackTopHat/blackTopHat.json
chunk/chunk,Print,1,chunk/chunk.json
chunk/chunk,ReadRange:type=UInt8:format=Image stack:first=0:step=1:last=31:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,chunk/chunk.json
chunk/chunk,ReadSlab:type=UInt8:format=Chunked stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,chunk/chunk.json
chunk/chunk,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,chunk/chunk.json
chunk/chunk,WriteChunks:chunkX=12:chunkY=13:chunkZ=14,1,chunk/chunk.json
chunk/chunk,intercept,1,chunk/chunk.json
chunk/toChunk,Print,1,chunk/toChunk.json
chunk/toChunk,Read:type=UInt8:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,chunk/toChunk.json
chunk/toChunk,WriteChunks:chunkX=64:chunkY=64:chunkZ=16,1,chunk/toChunk.json
chunk/toChunk,intercept,1,chunk/toChunk.json
closing/closing,Closing:radius=3,1,closing/closing.json
closing/closing,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,closing/closing.json
closing/closing,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,closing/closing.json
closing/closing,intercept,1,closing/closing.json
computeStats/computeStats,ComputeStats,1,computeStats/computeStats.json
computeStats/computeStats,Print,1,computeStats/computeStats.json
computeStats/computeStats,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,computeStats/computeStats.json
computeStats/computeStats,intercept,1,computeStats/computeStats.json
connectedComponents/connectedComponents,Cast:sourceType=UInt64:targetType=UInt8,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,CollapseComponentLabels:windowSize=7:translationTable=<input>,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,ComponentTranslationTable:windowSize=7,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,ConnectedComponents:windowSize=7,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,Read:type=UInt64:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,Read:type=UInt8:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,ScalarOpImage:operation=*:type=UInt8:value=85,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,Threshold:type=UInt8:lower=128.0:upper=infinity,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,WriteSlabSlices:windowSize=7,1,connectedComponents/connectedComponents.json
connectedComponents/connectedComponents,intercept,1,connectedComponents/connectedComponents.json
convolve/convolve,Cast:sourceType=Float64:targetType=UInt8,1,convolve/convolve.json
convolve/convolve,"Convolve:kernel=Image<float>.ofArray3D(Array3D.create 3 3 3 (1.0 / 27.0), ""average3x3x3""):outputRegionMode=Same:boundaryCondition=ZeroFluxNeumannPad:windowSize=7",1,convolve/convolve.json
convolve/convolve,IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0,1,convolve/convolve.json
convolve/convolve,Read:type=Float64:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,convolve/convolve.json
convolve/convolve,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,convolve/convolve.json
convolve/convolve,intercept,1,convolve/convolve.json
convolve3d/convolve3d,Cast:sourceType=Float64:targetType=UInt8,1,convolve3d/convolve3d.json
convolve3d/convolve3d,Read:type=Float64:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,convolve3d/convolve3d.json
convolve3d/convolve3d,SmoothWGauss:sigma=3.0:outputRegionMode=None:boundaryCondition=None:windowSize=7,1,convolve3d/convolve3d.json
convolve3d/convolve3d,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,convolve3d/convolve3d.json
convolve3d/convolve3d,intercept,1,convolve3d/convolve3d.json
copy/copy,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,copy/copy.json
copy/copy,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,copy/copy.json
copy/copy,intercept,1,copy/copy.json
createByEuler2DTransform/createByEuler2DTransform,CreateByEuler2DTransform:type=UInt8:width=64:height=64:depth=64:boxSize=16:transform=AntiDiagonal,1,createByEuler2DTransform/createByEuler2DTransform.json
createByEuler2DTransform/createByEuler2DTransform,CreateByEuler2DTransform:type=UInt8:width=64:height=64:depth=64:boxSize=16:transform=Diagonal,1,createByEuler2DTransform/createByEuler2DTransform.json
createByEuler2DTransform/createByEuler2DTransform,CreateByEuler2DTransform:type=UInt8:width=64:height=64:depth=64:boxSize=16:transform=TopDown,1,createByEuler2DTransform/createByEuler2DTransform.json
createByEuler2DTransform/createByEuler2DTransform,ImageOpImage:operation=max:type=UInt8,1,createByEuler2DTransform/createByEuler2DTransform.json
createByEuler2DTransform/createByEuler2DTransform,IntensityStretch:type=UInt8:inputMinimum=0.0:inputMaximum=1.0:outputMinimum=0.0:outputMaximum=255.,1,createByEuler2DTransform/createByEuler2DTransform.json
createByEuler2DTransform/createByEuler2DTransform,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,createByEuler2DTransform/createByEuler2DTransform.json
