template,mode,unknownCount,unknownFeatures,targetFeatures,emitted
bio-grayscale-grayOpening-grayDilate-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayOpening-grayClosing-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayOpening-blackTopHat-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayOpening-whiteTopHat-64x64x64,triangular,2,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-whiteTopHat-blackTopHat-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-whiteTopHat-grayClosing-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-whiteTopHat-grayOpening-64x64x64,triangular,2,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-whiteTopHat-grayDilate-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-whiteTopHat-grayErode-64x64x64,triangular,2,GrayscaleErode:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleErode:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-blackTopHat-morphGradient-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
