featureKey,supportCount,supportRatio
SmoothWMedian:type=Float64:radius=3:windowSize=7,1,0.014705882352941176
SobelEdge:type=Float64:windowSize=7,1,0.014705882352941176
SpeckleNoise:type=Float64:width=64:height=64:depth=64:std=0.5,1,0.014705882352941176
StreamConnectedObjects:connectivity=TwentySix,2,0.029411764705882353
StructureTensor:sigma=3.0:rho=1.0,1,0.014705882352941176
SumProjection:type=UInt8:function=Identity,1,0.014705882352941176
SurfaceArea:xUnit=1.0:yUnit=1.0:zUnit=1.0,1,0.014705882352941176
Threshold:type=Float64:lower=128.0:upper=infinity,1,0.014705882352941176
Threshold:type=UInt8:lower=128.0:upper=infinity,1,0.014705882352941176
Threshold:type=UInt8:lower=<input>:upper=infinity,2,0.029411764705882353
UnaryImageFunction:function=sqrt,1,0.014705882352941176
Vector3ToColor:inputMinimum=-1.0:inputMaximum=1.0,2,0.029411764705882353
VectorRange:firstComponent=3:componentCount=3,1,0.014705882352941176
Volume:xUnit=1.0:yUnit=1.0:zUnit=1.0,1,0.014705882352941176
WhiteTopHat:type=UInt8:radius=3:windowSize=7,1,0.014705882352941176
Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,51,0.75
WriteChunks:chunkX=12:chunkY=13:chunkZ=14,1,0.014705882352941176
WriteChunks:chunkX=16:chunkY=16:chunkZ=16,1,0.014705882352941176
WriteChunks:chunkX=64:chunkY=64:chunkZ=16,1,0.014705882352941176
WriteMatrix,1,0.014705882352941176
WriteMesh:format=.obj,1,0.014705882352941176
WritePointSet,4,0.058823529411764705
WriteSlabSlices:windowSize=7,1,0.014705882352941176
Zero:type=Float64:width=64:height=64:depth=16,1,0.014705882352941176
Zero:type=Float64:width=64:height=64:depth=64,1,0.014705882352941176
Zero:type=UInt8:width=64:height=64:depth=64,3,0.044117647058823532
intercept,68,1
